Theta,Gamma,Theta_dot,Gamma_dot
0.169,0.949999988,-0.00148,-0.002159998
0.131999999,0.896000028,-0.00172,-0.000800002
0.089000002,0.875999987,-0.00144,0.000640001
0.052999999,0.89200002,-0.00152,0.00148
0.015,0.92900002,-0.0012,0.001199999
-0.015,0.958999991,-0.00036,0.00052
-0.024,0.972000003,-0.0004,0.000680001
-0.034000002,0.989000022,0.00016,-0.000600002
-0.029999999,0.973999977,0.00112,-0.001199999
-0.002,0.944000006,0.00148,-8.00E-05
0.035,0.941999972,0.00184,0.00108
0.081,0.968999982,0.00168,0.001719999
0.123000003,1.011999965,0.00132,0.00184
0.156000003,1.057999969,0.00084,0.00132
0.177000001,1.090999961,0.00028,-0.000239997
0.184,1.085000038,4.00E-05,-0.001600003
0.185000002,1.044999957,-0.00056,-0.003479998
0.171000004,0.958000004,-0.00144,-0.0024
0.135000005,0.898000002,-0.00164,-0.000680001
0.093999997,0.880999982,-0.00144,0.0004
0.057999998,0.890999973,-0.00156,0.001440001
0.018999999,0.926999986,-0.00124,0.00128
-0.012,0.958999991,-0.00032,0.00036
-0.02,0.967999995,-0.00044,0.000680001
-0.030999999,0.985000014,0,-0.000320001
-0.030999999,0.976999998,0.00108,-0.001240001
-0.004,0.94599998,0.00144,-0.00016
0.032000002,0.941999972,0.00188,0.000880001
0.079000004,0.963999987,0.00172,0.001799998
0.122000001,1.008999944,0.00132,0.001800003
0.155000001,1.05400002,0.00096,0.001440001
0.179000005,1.090000033,0.00028,-0.0002
0.186000004,1.085000038,8.00E-05,-0.001360002
0.187999994,1.050999999,-0.00044,-0.003239999
0.177000001,0.970000029,-0.00144,-0.002680001
0.141000003,0.902999997,-0.00152,-0.000599999
0.103,0.888000011,-0.00152,4.00E-05
0.064999998,0.888999999,-0.0016,0.001359999
0.025,0.922999978,-0.0014,0.00132
-0.01,0.95599997,-0.00032,0.000400002
-0.017999999,0.966000021,-0.00044,0.000639999
-0.028999999,0.981999993,-0.00012,-4.00E-05
-0.032000002,0.981000006,0.001,-0.00128
-0.007,0.949000001,0.00144,-0.000320001
0.028999999,0.940999985,0.00188,0.000800002
0.075999998,0.961000025,0.00176,0.001800001
0.119999997,1.006000042,0.00136,0.00184
0.153999999,1.052000046,0.001,0.00152
0.179000005,1.090000033,0.00024,-0.000160003
0.185000002,1.085999966,0.0002,-0.001079998
0.189999998,1.059000015,-0.00032,-0.003
0.181999996,0.984000027,-0.0014,-0.002840002
0.147,0.912999988,-0.0016,-0.000880001
0.107000001,0.890999973,-0.00156,-4.00E-05
0.068000004,0.889999986,-0.0016,0.001240001
0.028000001,0.921000004,-0.00144,0.001359999
-0.008,0.954999983,-0.0004,0.0004
-0.017999999,0.964999974,-0.0004,0.000640001
-0.028000001,0.981000006,-0.00024,0.00016
-0.034000002,0.985000014,0.00092,-0.001200001
-0.011,0.954999983,0.0014,-0.00052
0.024,0.941999972,0.00188,0.000440001
0.071000002,0.953000009,0.00188,0.001920002
0.118000001,1.001000047,0.00144,0.00184
0.153999999,1.047000051,0.001,0.00164
0.179000005,1.088000059,0.00032,-0.000120001
0.187000006,1.085000038,0.00024,-0.000880003
0.193000004,1.062999964,-0.00032,-0.002839999
0.185000002,0.991999984,-0.00124,-0.0028
0.153999999,0.921999991,-0.00168,-0.001039999
0.112000003,0.896000028,-0.00156,-4.00E-05
0.072999999,0.894999981,-0.0016,0.00092
0.033,0.917999983,-0.00156,0.001360002
-0.006,0.952000022,-0.00052,0.000479999
-0.018999999,0.963999987,-0.00036,0.000640001
-0.028000001,0.980000019,-0.00032,0.00036
-0.035999998,0.989000022,0.00084,-0.001160002
-0.015,0.959999979,0.0014,-0.000799999
0.02,0.939999998,0.00188,0.000320001
0.067000002,0.948000014,0.00188,0.001919999
0.114,0.995999992,0.00156,0.001840003
0.152999997,1.042000055,0.00104,0.001719999
0.179000005,1.085000038,0.00032,4.00E-05
0.187000006,1.085999966,0.00024,-0.000799999
0.193000004,1.065999985,-0.0002,-0.002519999
0.187999994,1.003000021,-0.00132,-0.002920001
0.155000001,0.930000007,-0.00152,-0.00108
0.116999999,0.902999997,-0.00156,-4.00E-05
0.078000002,0.90200001,-0.00164,0.000599999
0.037,0.916999996,-0.0016,0.00132
-0.003,0.949999988,-0.00052,0.00052
-0.016000001,0.963,-0.00036,0.00056
-0.025,0.976999998,-0.00032,0.00056
-0.033,0.990999997,0.00068,-0.001040001
-0.016000001,0.964999974,0.00128,-0.001079998
0.016000001,0.938000023,0.00192,0.000279999
0.064000003,0.944999993,0.00192,0.001919999
0.112000003,0.992999971,0.00152,0.001920002
0.150000006,1.041000009,0.001,0.00164
0.174999997,1.082000017,0.0004,0.0002
0.185000002,1.087000012,0.00024,-0.000679998
0.191,1.070000052,-8.00E-05,-0.002440004
0.188999996,1.008999944,-0.0012,-0.002919998
0.158999994,0.93599999,-0.00152,-0.00132
0.120999999,0.902999997,-0.00156,-4.00E-05
0.082000002,0.90200001,-0.00164,0.000439999
0.041000001,0.912999988,-0.00164,0.00128
0,0.944999993,-0.00064,0.000680001
-0.016000001,0.962000012,-0.00028,0.00052
-0.023,0.975000024,-0.00028,0.000639999
-0.029999999,0.990999997,0.00052,-0.00096
-0.017000001,0.967000008,0.0012,-0.001200001
0.013,0.936999977,0.00184,0.000120001
0.059,0.939999998,0.00196,0.002
0.108000003,0.99000001,0.00152,0.001960001
0.145999998,1.039000034,0.00104,0.001679997
0.172000006,1.08099997,0.00048,0.000360003
0.184,1.090000033,0.00024,-0.000599999
0.189999998,1.075000048,-4.00E-05,-0.002360001
0.188999996,1.016000032,-0.00108,-0.003000002
0.162,0.940999985,-0.00156,-0.00152
0.123000003,0.902999997,-0.0016,-4.00E-05
0.082999997,0.90200001,-0.0016,0.00036
0.043000001,0.911000013,-0.00156,0.001199999
0.004,0.940999985,-0.00076,0.00076
-0.015,0.959999979,-0.00012,0.000320001
-0.017999999,0.967999995,-0.00032,0.000799999
-0.026000001,0.987999976,0.00036,-0.000839999
-0.017000001,0.967000008,0.00112,-0.001200001
0.011,0.936999977,0.00172,4.00E-05
0.054000001,0.938000023,0.00188,0.00184
0.101000004,0.984000027,0.0016,0.00188
0.141000003,1.031000018,0.00108,0.00184
0.167999998,1.077000022,0.00056,0.00052
0.181999996,1.090000033,0.00024,-0.000440001
0.187999994,1.078999996,-4.00E-05,-0.002280002
0.187000006,1.021999955,-0.000840001,-0.003119998
0.165999994,0.944000006,-0.00152,-0.001600001
0.128000006,0.903999984,-0.00156,0
0.089000002,0.903999984,-0.0016,0.00036
0.048999999,0.912999988,-0.00148,0.00092
0.012,0.93599999,-0.00096,0.001000001
-0.012,0.961000025,-8.00E-05,8.00E-05
-0.014,0.963,-0.00036,0.00072
-0.023,0.981000006,0.00024,-0.00056
-0.017000001,0.967000008,0.00104,-0.001159999
0.009,0.938000023,0.00164,-4.00E-05
0.050000001,0.936999977,0.0018,0.001720002
0.094999999,0.980000019,0.00152,0.001879997
0.133000001,1.02699995,0.0012,0.00184
0.163000003,1.072999954,0.00056,0.000680003
0.177000001,1.090000033,0.00036,-0.000360003
0.186000004,1.08099997,0,-0.00224
0.186000004,1.024999976,-0.00072,-0.003079998
0.167999998,0.948000014,-0.00152,-0.001760001
0.129999995,0.903999984,-0.00144,0
0.093999997,0.903999984,-0.00156,0.000480001
0.055,0.916000009,-0.00144,0.000599999
0.018999999,0.930999994,-0.00112,0.00112
-0.009,0.958999991,-0.00016,0.00016
-0.013,0.963,-0.00032,0.000599999
-0.021,0.977999985,0.00012,-0.0004
-0.017999999,0.967999995,0.00096,-0.00112
0.006,0.939999998,0.00148,-8.00E-05
0.043000001,0.938000023,0.00176,0.00168
0.086999997,0.980000019,0.00156,0.001799998
0.126000002,1.024999976,0.0012,0.001719999
0.156000003,1.067999959,0.00068,0.000840001
0.172999993,1.088999987,0.00032,-0.0002
0.180999994,1.083999991,0.00012,-0.002080002
0.184,1.031999946,-0.00068,-0.003119998
0.166999996,0.953999996,-0.00148,-0.00188
0.129999995,0.907000005,-0.0014,-0.000120001
0.094999999,0.903999984,-0.00144,0.000440001
0.059,0.915000021,-0.00136,0.000439999
0.025,0.925999999,-0.00124,0.001199999
-0.006,0.95599997,-0.00024,0.000240002
-0.012,0.962000012,-0.00024,0.000479999
-0.017999999,0.973999977,8.00E-05,-0.0002
-0.016000001,0.968999982,0.00084,-0.00112
0.005,0.940999985,0.00136,-8.00E-05
0.039000001,0.93900001,0.00172,0.001559999
0.082000002,0.977999985,0.00152,0.001800001
0.119999997,1.023000002,0.00124,0.001680002
0.150999993,1.065000057,0.00072,0.00092
0.169,1.088000059,0.00036,-0.000200005
0.178000003,1.082999945,0.00016,-0.001879997
0.181999996,1.036000013,-0.00052,-0.003
0.169,0.961000025,-0.00144,-0.002
0.133000001,0.911000013,-0.00136,-0.000240002
0.098999999,0.904999971,-0.00128,0.00036
0.067000002,0.913999975,-0.00148,0.000400002
0.029999999,0.924000025,-0.00132,0.001159999
-0.003,0.953000009,-0.00032,0.000320001
-0.011,0.961000025,-0.00012,0.000319998
-0.014,0.968999982,-4.00E-05,-8.00E-05
-0.015,0.967000008,0.00088,-0.00108
0.007,0.939999998,0.00124,-0.000120001
0.037999999,0.936999977,0.0016,0.00148
0.078000002,0.973999977,0.00156,0.001760001
0.116999999,1.018000007,0.00116,0.001599998
0.145999998,1.057999969,0.00072,0.00112
0.164000005,1.085999966,0.00032,-0.0002
0.172000006,1.08099997,0.0002,-0.001760001
0.177000001,1.036999941,-0.00036,-0.002799997
0.167999998,0.967000008,-0.00128,-0.00204
