Theta,Gamma,Theta_dot,Gamma_dot,Current 0,Current 1 ,Foot Force
0.163000003,1.088000059,0.0004,0.000119996,6.951000214,-15.28899956,14.69335841
0.172999993,1.090999961,0.00016,-0.00164,4.269999981,-13.39500046,12.33032932
0.177000001,1.049999952,-0.0004,-0.003199997,1.940000057,-10.49800015,9.268876398
0.166999996,0.970000029,-0.00132,-0.002840002,0.89200002,-8.883000374,7.707987601
0.134000003,0.898999989,-0.00168,-0.001559999,1.157999992,-6.894999981,6.162773578
0.092,0.860000014,-0.00152,0.000479999,0.291000009,-4.864999771,4.138010577
0.054000001,0.871999979,-0.00176,0.001240001,-0.270000011,-2.473999977,1.885878568
0.01,0.902999997,-0.00144,0.00148,0.310000002,-0.192000002,0.255979345
-0.026000001,0.939999998,-0.00064,0.000680001,-0.082000002,1.220999956,-0.90439588
-0.041999999,0.957000017,-0.00044,0.000679998,0.476000011,1.389000058,-0.78579921
-0.052999999,0.973999977,8.00E-05,-0.000239999,1.616000056,1.029999971,-0.068740244
-0.050999999,0.967999995,0.00096,-0.00112,2.342999935,-0.469999999,1.24374152
-0.027000001,0.939999998,0.00164,4.00E-05,3.279000044,-3.147000074,3.490146168
0.014,0.940999985,0.0018,0.00052,4.823999882,-5.553999901,5.890092876
0.059,0.953999996,0.0018,0.001760001,5.880000114,-9.029999733,9.025802252
0.104000002,0.998000026,0.00152,0.00184,6.698999882,-13.01299953,12.55471372
0.142000005,1.04400003,0.00096,0.001719999,8.194999695,-15.43799973,15.13445898
0.165999994,1.087000012,0.00036,0.0002,7.169000149,-15.62300015,15.05376314
0.174999997,1.092000008,0.00024,-0.001399999,4.681000233,-13.67099953,12.70023458
0.180999994,1.057000041,-0.00028,-0.002920001,2.227999926,-11.09700012,9.865596548
0.173999995,0.984000027,-0.00136,-0.003040001,0.843999982,-9.050000191,7.83392982
0.140000001,0.907999992,-0.0018,-0.001719999,0.996999979,-7.295000076,6.44942297
0.094999999,0.86500001,-0.00144,0.00036,0.524999976,-5.104000092,4.409851766
0.059,0.874000013,-0.0018,0.001239998,-0.280999988,-2.305999994,1.754566153
0.014,0.904999971,-0.00144,0.001240001,0.199000001,-0.430000007,0.396471309
-0.022,0.93599999,-0.00088,0.000840001,-0.002,1.167999983,-0.841132755
-0.044,0.957000017,-0.00036,0.000679998,0.279000014,1.445000052,-0.898807793
-0.052999999,0.973999977,0,-0.000239999,1.302999973,1.177999973,-0.293749244
-0.052999999,0.967999995,0.00096,-0.001040001,2.815000057,-0.270000011,1.292901234
-0.028999999,0.941999972,0.0016,-0.000159998,4.065999985,-2.993000031,3.676270442
0.011,0.938000023,0.00188,0.000479999,4.43599987,-5.335999966,5.582480647
0.057999998,0.949999988,0.0018,0.001719999,5.815000057,-8.593999863,8.668937554
0.103,0.992999971,0.00156,0.001759999,6.380000114,-12.85200024,12.32351348
0.142000005,1.036999941,0.00096,0.001800003,7.590000153,-15.41499996,14.92515043
0.165999994,1.082000017,0.0004,0.000240002,7.333000183,-15.73799992,15.20274699
0.175999999,1.088000059,0.0002,-0.001080003,5.087999821,-13.67800045,12.8451794
0.180999994,1.06099999,-0.0002,-0.002879999,1.906999946,-11.26000023,9.893623454
0.175999999,0.989000022,-0.00132,-0.003080001,0.796999991,-9.149999619,7.901675373
0.143000007,0.912,-0.00172,-0.001719999,0.880999982,-7.46600008,6.559234214
0.100000001,0.869000018,-0.00148,0.000319998,0.745999992,-5.495999813,4.813825351
0.063000001,0.876999974,-0.00156,0.001520002,-0.356999993,-2.605999947,1.973929827
0.024,0.915000021,-0.00148,0.001399999,-0.726999998,-0.504999995,0.125599082
-0.013,0.949999988,-0.0008,0.000800002,0.449999988,1.042000055,-0.583502087
-0.033,0.970000029,-0.00048,0.00076,0.617999971,1.567000031,-0.860973137
-0.045000002,0.989000022,8.00E-05,-0.0002,1.187999964,1.105999947,-0.292441229
-0.043000001,0.984000027,0.00084,-0.000960002,2.621000052,-0.068000004,1.077205249
-0.022,0.959999979,0.00136,-0.00076,3.154000044,-2.443000078,2.941694776
0.012,0.940999985,0.0018,0.00016,4.281000137,-5.068999767,5.3273078
0.057,0.944999993,0.0018,0.001560001,5.56099987,-8.015999794,8.137744396
0.101999998,0.984000027,0.0016,0.001919997,6.761000156,-12.17500019,11.9282938
0.142000005,1.031999946,0.001,0.001880002,7.445000172,-15.25899982,14.75894578
0.166999996,1.078999996,0.00044,0.000279999,7.425000191,-16.06699944,15.50787766
0.178000003,1.085999966,0.0002,-0.000839996,5.381000042,-14.18900013,13.37055867
0.182999998,1.065000057,-0.0002,-0.002680001,2.470000029,-11.57699966,10.33911495
0.178000003,0.998000026,-0.00112,-0.003080001,0.414999992,-9.454000473,8.028667354
0.150000006,0.921000004,-0.00168,-0.00188,0.499000013,-7.678999901,6.626938431
0.108000003,0.874000013,-0.00164,4.00E-05,0.823000014,-5.611999989,4.950333931
0.067000002,0.875,-0.00152,0.00148,-0.199000001,-3.01699996,2.368462418
0.028999999,0.912,-0.00144,0.001359999,-0.370999992,-0.75,0.442805891
-0.007,0.94599998,-0.00088,0.000840001,-0.736000001,0.933000028,-0.953103278
-0.028999999,0.967000008,-0.0006,0.000799999,0.54400003,1.317000031,-0.720148073
-0.044,0.986999989,4.00E-05,-8.00E-05,1.317000031,1.238000035,-0.334883553
-0.043000001,0.985000014,0.00072,-0.000800002,1.723999977,0.082999997,0.620646073
-0.025,0.964999974,0.00136,-0.00092,3.503000021,-2.355000019,3.010741003
0.009,0.941999972,0.00176,8.00E-05,3.796999931,-4.894000053,5.013629083
0.052999999,0.944000006,0.0018,0.001440001,5.020999908,-8.097999573,8.000287342
0.097999997,0.980000019,0.00156,0.001879997,6.104000092,-11.96800041,11.53013606
0.136999995,1.02699995,0.00116,0.001960001,7.662000179,-15.07199955,14.65771427
0.165999994,1.075999975,0.00048,0.000480003,7.736999989,-16.10300064,15.63448486
0.178000003,1.088000059,0.00024,-0.00072,5.422999859,-14.59799957,13.7184692
0.184,1.070000052,-0.00016,-0.002440004,2.505000114,-11.78800011,10.52412972
0.180000007,1.008999944,-0.00108,-0.003119998,0.317000002,-9.637000084,8.137687814
0.152999997,0.930999994,-0.0016,-0.001759999,0.866999984,-7.848999977,6.868747855
0.112999998,0.887000024,-0.00156,-0.00036,0.660000026,-5.765999794,5.01305033
0.074000001,0.878000021,-0.00164,0.001239998,-0.460000008,-3.239000082,2.473447982
0.033,0.908999979,-0.00148,0.00132,-0.268000007,-0.949999988,0.636486251
-0.004,0.941999972,-0.00092,0.00092,-0.465000004,0.796999991,-0.755033038
-0.027000001,0.964999974,-0.0006,0.000880001,0.405000001,1.424999952,-0.853123464
-0.041999999,0.986999989,-4.00E-05,0,1.404000044,1.333999991,-0.369834061
-0.043000001,0.986999989,0.0006,-0.000679998,1.605999947,0.150999993,0.527988253
-0.028000001,0.970000029,0.00128,-0.001040001,3.713000059,-2.075999975,2.893711447
0.004,0.944000006,0.00172,0,3.693000078,-4.540999889,4.703097279
0.046999998,0.944000006,0.0018,0.001399999,4.491000175,-7.44299984,7.289268673
0.092,0.978999972,0.00164,0.001960001,6.102000237,-11.60999966,11.21781414
0.133000001,1.027999997,0.0012,0.001919999,7.638000011,-14.68700027,14.3157807
0.163000003,1.075999975,0.00052,0.000640001,7.475999832,-15.85400009,15.32926362
0.175999999,1.092000008,0.00028,-0.000599999,5.663000107,-14.85000038,13.98891871
0.182999998,1.077000022,-8.00E-05,-0.002400002,2.779999971,-12.14000034,10.88880129
0.180999994,1.01699996,-0.001,-0.003239999,1.070000052,-9.593000412,8.321938409
0.156000003,0.93599999,-0.0016,-0.00168,0.75,-7.96600008,6.931314477
0.115999997,0.893999994,-0.00168,-0.000639999,0.841000021,-5.711999893,5.01938816
0.074000001,0.878000021,-0.0016,0.00128,0.108999997,-3.22300005,2.648464124
0.034000002,0.910000026,-0.00144,0.001239998,0.275999993,-0.989000022,0.857713544
-0.002,0.940999985,-0.00092,0.00092,-0.148000002,0.680999994,-0.553804106
-0.025,0.963999987,-0.00044,0.00076,-0.270999998,1.440000057,-1.125220286
-0.035999998,0.98299998,-0.00024,0.000240002,0.722000003,1.230999947,-0.575685269
-0.041999999,0.989000022,0.0006,-0.000680001,2.088000059,0.342000008,0.585864689
-0.027000001,0.972000003,0.0012,-0.001159999,2.74000001,-1.848999977,2.359671142
0.003,0.943000019,0.00172,-0.000120001,3.572000027,-4.518000126,4.640333389
0.046,0.939999998,0.0018,0.00132,4.024000168,-6.972000122,6.766262906
0.090999998,0.97299999,0.00164,0.001759999,6.013999939,-11.24699974,10.90883702
0.131999999,1.01699996,0.00124,0.001960001,7.722000122,-14.54100037,14.23780371
0.163000003,1.065999985,0.00064,0.00092,7.750999928,-15.91899967,15.47831343
0.179000005,1.088999987,0.00024,-0.000440001,6.329999924,-14.9119997,14.27335129
0.185000002,1.077999949,-8.00E-05,-0.002199998,2.907000065,-12.44699955,11.19260078
0.182999998,1.023000002,-0.00084,-0.003280001,-0.055,-9.732000351,8.089513181
0.162,0.940999985,-0.00156,-0.00188,0.199000001,-8.354000092,7.104479095
0.123000003,0.893999994,-0.00176,-0.00076,-0.122000001,-6.020999908,4.999806603
0.079000004,0.875,-0.0016,0.00112,0.273999989,-3.967000008,3.324496112
0.039000001,0.902999997,-0.00148,0.001440001,-0.648999989,-1.279000044,0.766258232
0.002,0.93900001,-0.00088,0.000880001,-0.101000004,0.550999999,-0.442920684
-0.02,0.961000025,-0.00044,0.000719998,0.246999994,1.100000024,-0.691421835
-0.030999999,0.978999972,-0.00036,0.00052,0.356000006,1.136000037,-0.658596862
-0.039999999,0.991999984,0.00048,-0.00076,1.254999995,0.363999993,0.242249529
-0.028000001,0.97299999,0.00468,-4.00E-05,3.444000006,-1.753000021,2.563032842
0.089000002,0.972000003,0.0016,0.001719999,5.769000053,-10.75599957,10.43103673
0.128999993,1.014999986,0.00128,0.001960001,7.449999809,-14.26799965,13.91515889
0.160999998,1.06400001,0.00072,0.000999999,7.035999775,-16.11700058,15.39648315
0.179000005,1.088999987,0.00024,-0.000320001,6.618999958,-15.14900017,14.56084339
0.185000002,1.08099997,-4.00E-05,-0.00204,3.073999882,-12.71399975,11.46305053
