Theta,Gamma,Current0,Current1,Seq,sp_theta,sp_gamma
0.156000003,1.062999964,3.525000095,-11.20199966,4.298263001,0,1.378127217
0.157000005,0.999000013,1.361999989,-9.031999588,4.337696606,0,1.242584705
0.133000001,0.926999986,0.998000026,-7.396999836,4.377130212,0,1.122049212
0.097000003,0.883000016,0.828000009,-5.138000011,4.416563817,0,1.023828864
0.057999998,0.870999992,-0.057,-2.90899992,4.455997423,0,0.954291642
0.015,0.888000011,-0.013,-0.759000003,4.495431028,0,0.920798361
-0.026000001,0.913999975,0.777999997,0.925999999,4.534864634,0,0.927076221
-0.046999998,0.924000025,1.300999999,1.315999985,4.574298239,0,0.97228843
-0.061999999,0.939999998,2.036000013,1.406000018,4.613731845,0,1.051650405
-0.074000001,0.957000017,3.148000002,0.577000022,4.65316545,0,1.157383919
-0.067000002,0.944000006,4.453000069,-1.351999998,4.692599056,0,1.283389568
-0.039000001,0.921999991,5.252999783,-3.944999933,4.732032661,0,1.434514165
0.012,0.949999988,5.705999851,-6.803999901,4.771466267,0,1.710460782
0.061999999,0.995000005,7.013000011,-10.5880003,4.810899872,0,1.9500736
0.150000006,1.097000003,6.459000111,-13.85099983,4.850333478,0,1.652683973
0.164000005,1.072000027,3.555000067,-11.72900009,4.889767083,0,1.392970204
0.166999996,1.006000042,1.026000023,-9.215000153,4.929200689,0,1.255592704
0.144999996,0.933000028,1.003000021,-7.762000084,4.968634294,0,1.133698106
0.108000003,0.888999999,0.799000025,-5.65199995,5.0080679,0,1.032508254
0.068999998,0.870000005,0.02,-3.084000111,5.047501505,0,0.959959984
0.023,0.887000024,-0.259000003,-1.01699996,5.086935111,0,0.922402263
-0.016000001,0.917999983,0.653999984,0.782000005,5.126368716,0,0.924537778
-0.039000001,0.940999985,0.616999984,1.226999998,5.165802322,0,0.966114283
-0.055,0.962000012,1.06099999,1.473999977,5.205235927,0,1.042003155
-0.059999999,0.973999977,2.015000105,0.500999987,5.244669533,0,1.145288706
-0.054000001,0.963999987,3.391000032,-1.126000047,5.284103138,0,1.269522429
-0.024,0.93900001,5.077000141,-3.851000071,5.323536744,0,1.407555223
0.017999999,0.947000027,5.083000183,-6.46600008,5.362970349,0,1.681916833
0.068000004,0.978999972,6.669000149,-10.61699963,5.402403955,0,1.929712892
0.109999999,1.029000044,8.157999992,-13.94799995,5.44183756,0,2.040300608
0.142000005,1.074000001,8.105999947,-15.36299992,5.481271166,0,1.930219769
0.158999994,1.095000029,6.197000027,-14.43700027,5.520704771,0,1.681457758
0.166999996,1.085000038,3.316999912,-11.79100037,5.560138377,0,1.407914996
0.167999998,1.018000007,1.003000021,-9.519000053,5.599571982,0,1.269301653
0.150000006,0.934000015,0.536000013,-8.218999863,5.639005588,0,1.145576358
0.111000001,0.882000029,0.765999973,-5.923999786,5.678439193,0,1.041851163
0.071999997,0.86500001,-0.086999997,-3.480999947,5.717872799,0,0.966014385
0.028999999,0.885999978,0.324999988,-1.220999956,5.757306404,0,0.924500644
-0.009,0.920000017,0.890999973,0.632000029,5.79674001,0,0.922432482
-0.035,0.94599998,0.531000018,1.388000011,5.836173615,0,0.960053921
-0.052000001,0.966000021,0.85799998,1.488000035,5.875607221,0,1.032655478
-0.057999998,0.975000024,2.719000101,0.674000025,5.915040826,0,1.133886218
-0.052000001,0.964999974,3.153000116,-1.101999998,5.954474432,0,1.255810857
-0.023,0.936999977,4.34499979,-3.536000013,5.993908037,0,1.393208504
0.017999999,0.947000027,5.008999825,-6.349999905,6.033341643,0,1.653145909
0.066,0.972000003,6.960999966,-10.42099953,6.072775248,0,1.908757925
0.109999999,1.023000002,8.307999611,-13.76500034,6.112208854,0,2.039007425
0.141000003,1.069000006,8.597000122,-15.48999977,6.15164246,0,1.949760318
0.158000007,1.093999982,6.485000134,-14.4630003,6.191076065,0,1.710006118
0.164000005,1.088000059,3.673000097,-11.93599987,6.230509671,0,1.434063911
0.166999996,1.031000018,0.796000004,-9.501000404,6.269943276,0,1.283166409
0.153999999,0.948000014,1.389000058,-8.237999916,6.309376882,0,1.157188654
0.118000001,0.887000024,0.583999991,-6.388000011,6.348810487,0,1.051493764
0.077,0.859000027,0.159999996,-3.75999999,6.388244093,0,0.972182691
0.035,0.876999974,-0.180000007,-1.430999994,6.427677698,0,0.927032292
-0.005,0.913999975,0.474000007,0.39199999,6.467111304,0,0.920821786
-0.035,0.944000006,0.556999981,1.386999965,6.506544909,0,0.95437938
