Theta,Gamma,Theta_dot,Gamma_dot
0.286000013,1.31099999,4.00E-05,-0.001599998
0.287,1.271000028,-8.00E-05,-0.003200002
0.284999996,1.190999985,-0.00124,-0.00428
0.254000008,1.083999991,-0.00296,-0.003000002
0.180000007,1.008999944,-0.0032,-0.000879998
0.100000001,0.986999989,-0.00296,0.000960002
0.026000001,1.011000037,-0.0008,0.000239997
0.006,1.01699996,8.00E-05,4.00E-05
0.008,1.018000007,4.00E-05,1.20E-04
0.009,1.021000028,-0.00024,0.000959997
0.003,1.044999957,4.00E-05,-0.000599999
0.004,1.029999971,0.00136,0.000360003
0.037999999,1.039000034,0.0024,0.001599998
0.097999997,1.078999996,0.00304,0.002480001
0.173999995,1.141000032,0.00284,0.003519998
0.245000005,1.228999972,0.00184,0.002480001
0.291000009,1.291000009,0.00056,0.000759997
0.305000007,1.309999943,8.00E-05,-0.001079998
0.307000011,1.282999992,-8.00E-05,-0.002919998
0.305000007,1.210000038,-0.00104,-0.004400001
0.279000014,1.100000024,-0.003000001,-0.003400002
0.203999996,1.014999986,-0.00328,-0.001359999
0.122000001,0.981000006,-0.00336,0.001119998
0.037999999,1.008999944,-1.52E-03,0.000280004
0,1.016000032,0.00012,-8.00E-05
0.003,1.014000058,0.00012,2.40E-04
0.006,1.019999981,-0.0004,0.000880003
-0.004,1.042000055,0.00032,-0.000240002
0.004,1.036000013,0.00656,0.003239999
0.167999998,1.116999984,0.00304,0.003800001
0.244000003,1.212000012,0.0018,0.00276
0.289000005,1.281000018,0.0004,0.001040001
0.298999995,1.307000041,-0.00016,-0.000480003
0.294999987,1.294999957,-0.00028,-0.002919998
0.287999988,1.222000003,-0.00084,-0.004320002
0.26699999,1.113999963,-0.00276,-0.002879996
0.197999999,1.042000055,-0.0032,-0.001560001
0.118000001,1.003000021,-0.00288,0.001199999
0.046,1.032999992,-0.0018,-0.0004
0.001,1.023000002,0.00028,0
0.008,1.023000002,-4.00E-05,1.20E-04
0.007,1.026000023,-0.0002,0.000559998
0.002,1.039999962,-8.00E-05,0.00092
0,1.062999964,0.00192,-0.00204
0.048,1.011999965,0.00256,0.00152
0.112000003,1.049999952,0.00284,0.003520002
0.182999998,1.138000011,0.00208,0.002839999
0.234999999,1.208999991,0.0014,0.003320003
0.270000011,1.292000055,0.000439999,0.001239996
0.280999988,1.322999954,0.000120001,-0.000879998
0.284000009,1.300999999,-0.000320001,-0.003439999
0.275999993,1.215000033,-0.00012,-0.00408
0.273000002,1.113000035,-0.00228,-0.003920002
0.216000006,1.014999986,-0.00308,-0.001719999
0.138999999,0.972000003,-0.00344,0.001599998
0.052999999,1.011999965,-0.002,0.0002
0.003,1.01699996,0.00024,0
0.009,1.01699996,0,0.000120001
0.009,1.019999981,-0.00028,0.000599999
0.002,1.034999967,-8.00E-05,0.001880002
0,1.082000017,0.00156,-0.001919999
0.039000001,1.034000039,0.002,0.000959997
0.089000002,1.057999969,0.00248,0.002680001
0.150999993,1.125,0.00216,0.003280001
0.204999998,1.207000017,0.00148,3.24E-03
0.241999999,1.287999988,0.00052,0.000999999
0.254999995,1.312999964,-8.00E-05,-0.000999999
0.252999991,1.287999988,-0.000319999,-0.003600001
0.245000005,1.197999954,-8.00E-05,-0.004159999
0.243000001,1.093999982,-0.00184,-0.00348
0.196999997,1.006999969,-0.00296,-0.001439998
0.123000003,0.971000016,-0.0024,0.000639999
0.063000001,0.986999989,-0.00184,0.00092
0.017000001,1.00999999,1.20E-04,-8.00E-05
0.02,1.008000016,-4.00E-05,0.000120001
0.018999999,1.011000037,-0.0006,0.000999999
0.004,1.036000013,-0.00032,0.001799998
-0.004,1.08099997,0.00092,-0.00152
0.018999999,1.042999983,0.0022,-0.000359998
0.074000001,1.034000039,0.00252,0.002919998
0.136999995,1.106999993,0.0022,0.003600001
0.192000002,1.197000027,0.00132,3.88E-03
0.224999994,1.29400003,0.00028,0.001199999
0.231999993,1.324000001,-0.00016,-0.000440001
0.228,1.312999964,-0.0002,-0.003239999
0.223000005,1.231999993,-0.00028,-0.004439998
0.216000006,1.121000052,-0.00192,-0.004520001
0.167999998,1.008000016,-0.00296,-0.001600001
0.093999997,0.967999995,-0.00232,0.001040001
0.035999998,0.994000018,-0.0012,0.001159999
0.006,1.023000002,1.60E-04,-8.00E-05
0.01,1.021000028,0,8.00E-05
0.01,1.023000002,-0.00016,0.000320001
0.006,1.031000018,-0.00024,0.001440001
0,1.067000031,0.00096,-0.002000003
0.024,1.01699996,0.00236,0.000480003
0.082999997,1.029000044,0.00248,0.00276
