Theta,Gamma,Theta_dot,Gamma_dot
-0.015,0.986999989,-0.00028,0.0004
-0.022,0.996999979,-8.00E-05,0.000640001
-0.024,1.013000011,-0.0006,-8.00E-05
-0.039000001,1.011000037,0.00108,-0.001160002
-0.012,0.981999993,0.00088,0.003320003
0.01,1.065000057,0.00184,0.006079998
0.056000002,1.217000008,1.60E-03,0.003920002
0.096000001,1.315000057,0.00124,0.002799997
0.127000004,1.38499999,0.0008,1.60E-03
0.147,1.424999952,0.00044,-0.0004
0.158000007,1.414999962,0.00096,-0.002719998
0.181999996,1.347000003,0.00108,-0.0054
0.209000006,1.212000012,0,-0.005560002
0.209000006,1.072999954,-0.00272,-0.003439999
0.141000003,0.986999989,-0.00332,-0.000679998
0.057999998,0.970000029,-0.00184,0.001719999
0.012,1.013000011,-3.60E-04,-0.000120001
0.003,1.00999999,-3.60E-04,-0.000279999
-0.006,1.003000021,-0.00016,0.0004
-0.01,1.013000011,-0.00088,0.001479998
-0.032000002,1.049999952,-8.00E-05,-0.002359998
-0.034000002,0.990999997,0.00112,0.002279999
-0.006,1.047999978,0.00204,0.006360002
0.045000002,1.207000017,1.60E-03,0.004039998
0.085000001,1.307999969,0.00128,0.002839999
0.116999999,1.378999949,0.0008,0.001600003
0.136999995,1.41900003,0.00032,-0.000120001
0.144999996,1.416000009,0.00092,-0.002480001
0.167999998,1.353999972,0.00116,-0.004920001
0.196999997,1.230999947,0.00024,-0.005799999
0.202999994,1.085999966,-0.002679999,-4.12E-03
0.136000007,0.98299998,-0.0032,-0.00092
0.056000002,0.959999979,-2.44E-03,9.60E-04
-0.005,0.984000027,-4.00E-05,-1.60E-04
-0.006,0.980000019,-0.00044,0.0004
-0.017000001,0.99000001,0.0002,0.000479999
-0.012,1.001999974,-0.00092,0.00132
-0.035,1.034999967,0.0006,-2.40E-03
-0.02,0.975000024,8.40E-04,0.00224
0.001,1.031000018,0.00216,0.00652
0.055,1.194000006,0.00168,0.003759999
0.097000003,1.287999988,0.0014,0.002480001
0.131999999,1.350000024,0.00084,0.00152
0.152999997,1.388000011,0.00056,0.000359998
0.166999996,1.396999955,0.0008,-0.001759996
0.187000006,1.353000045,0.00104,-0.004440002
0.213,1.241999984,0.0002,-0.00572
0.217999995,1.098999977,-0.00264,-0.004359999
0.151999995,0.99000001,-0.00336,-0.001200001
0.068000004,0.959999979,-0.00288,0.00076
-0.004,0.978999972,-3.60E-04,0.000200002
-0.013,0.984000027,1.20E-04,0
-0.01,0.984000027,-0.0002,0.000599999
-0.015,0.999000013,-0.00084,0.001639998
-0.035999998,1.039999962,0.00052,-0.002679999
-0.023,0.97299999,9.60E-04,0.00168
0.001,1.014999986,0.00228,0.006560001
0.057999998,1.17900002,0.0018,0.004000001
0.103,1.279000044,0.00136,0.002519999
0.136999995,1.342000008,0.001,0.001799998
0.162,1.386999965,0.00068,0.00052
0.179000005,1.399999976,0.00088,-0.001399999
0.201000005,1.36500001,0.00076,-0.004320002
0.219999999,1.256999969,-4.00E-05,-0.005559998
0.218999997,1.118000031,-0.00236,-0.003959999
0.159999996,1.019000053,-0.00324,-0.001640003
0.079000004,0.977999985,-0.00248,6.80E-04
0.017000001,0.995000005,-6.40E-04,-7.20E-04
0.001,0.976999998,8.00E-05,4.00E-05
0.003,0.977999985,-4.00E-05,0.000240002
0.002,0.984000027,-8.00E-05,0.002879999
0,1.055999994,0.00052,-0.00164
0.013,1.014999986,8.40E-04,-0.00092
0.034000002,0.991999984,0.00108,0.005640001
0.061000001,1.133000016,0.00152,0.004839997
0.098999999,1.253999949,0.00152,0.003920002
0.136999995,1.351999998,0.00076,0.002160001
0.156000003,1.406000018,2.40E-04,8.00E-05
0.162,1.407999992,0.00068,-0.00132
0.179000005,1.375,0.00068,-0.003759999
0.195999995,1.281000018,0.00056,-0.0054
0.209999993,1.146000028,-0.00228,-0.004640002
0.152999997,1.029999971,-0.0032,-0.00244
0.072999999,0.968999982,-0.00292,3.60E-04
0,0.977999985,0,-0.00016
0,0.973999977,0,4.00E-05
0,0.975000024,0,0.0002
0,0.980000019,-0.00044,0.002279997
-0.011,1.036999941,-0.00028,0.000880003
-0.017999999,1.059000015,8.00E-05,-0.002080002
-0.016000001,1.006999969,0.00164,0.005599999
0.025,1.146999955,0.00208,0.004960003
0.077,1.271000028,0.00136,0.003280001
0.111000001,1.353000045,0.00084,1.76E-03
0.131999999,1.396999955,0.00028,0.000160003
0.138999999,1.401000023,0.00064,-0.001480002
0.155000001,1.363999963,0.00096,-0.003639998
0.179000005,1.273000002,0.00092,-0.005079999
0.202000007,1.146000028,-0.002040001,-4.60E-03
0.150999993,1.031000018,-0.00308,-0.002080002
0.074000001,0.978999972,-2.20E-03,6.80E-04
0.018999999,0.995999992,-0.0006,-0.000639999
0.004,0.980000019,-4.00E-05,-8.00E-05
0.003,0.977999985,0,0.000240002
0.003,0.984000027,-0.00048,0.001759999
-0.009,1.027999997,-0.00064,0.003039999
-0.025,1.103999972,0.00016,-0.004239998
-0.021,0.998000026,0.0018,0.0054
0.024,1.133000016,0.00188,0.004520001
0.071000002,1.246000052,1.56E-03,0.00336
0.109999999,1.330000043,0.00104,2.12E-03
0.136000007,1.383000016,0.0002,0.000640001
0.141000003,1.399000049,0.00024,-0.001600003
0.147,1.358999968,0.00064,-0.003639998
0.163000003,1.268000007,0.00088,-0.00448
0.185000002,1.156000018,-0.0016,-0.00428
0.144999996,1.049000025,-0.00312,-0.00256
0.067000002,0.985000014,-2.04E-03,4.00E-04
0.016000001,0.995000005,-0.00064,-0.00056
0,0.981000006,0,-4.00E-05
0,0.980000019,-4.00E-05,0.000119998
-0.001,0.98299998,-0.0002,0.002
-0.006,1.032999992,-0.00108,0.00164
-0.033,1.074000001,4.00E-05,-0.00244
-0.032000002,1.013000011,0.00176,0.004000001
0.012,1.113000035,0.00252,0.004559999
0.075000003,1.226999998,1.88E-03,0.003720002
0.122000001,1.320000052,0.001,2.12E-03
0.147,1.373000026,0.00012,0.000599999
0.150000006,1.388000011,0.00016,-0.00092
0.153999999,1.36500001,0.00052,-0.003280001
0.166999996,1.282999992,0.00096,-4.08E-03
0.191,1.180999994,-0.00148,-0.004679999
0.153999999,1.06400001,-3.56E-03,-0.003280001
0.064999998,0.981999993,-2.56E-03,0.0002
0.001,0.986999989,-0.0004,-0.000119998
-0.009,0.984000027,-4.00E-05,4.00E-05
-0.01,0.985000014,-8.00E-05,0.0002
-0.012,0.99000001,-8.00E-05,0.00152
-0.014,1.027999997,-0.00064,1.92E-03
-0.029999999,1.075999975,0.00044,-0.003399999
-0.018999999,0.990999997,0.0018,0.003799999
0.026000001,1.085999966,0.00204,0.005040002
0.077,1.212000012,1.96E-03,0.003839998
0.126000002,1.307999969,0.00136,2.12E-03
0.159999996,1.360999942,0.00072,0.001000004
0.178000003,1.386000037,0.00044,-0.000680003
0.188999996,1.368999958,0.00016,-0.00336
0.193000004,1.284999967,0.00024,-0.00428
0.199000001,1.177999973,-0.00136,-0.003719997
0.165000007,1.085000038,-0.003,-2.68E-03
0.090000004,1.018000007,-2.72E-03,-1.60E-04
0.022,1.014000058,-0.00052,0.000119996
0.009,1.01699996,-0.00012,-4.00E-05
0.006,1.016000032,0.00012,0.000159998
0.009,1.019999981,-0.0002,0.000960002
0.004,1.04400003,-0.00108,0.002160001
-0.023,1.09800005,-0.00072,-0.004080002
-0.041000001,0.995999992,1.92E-03,0.002920001
0.007,1.069000006,0.00248,0.005
0.068999998,1.194000006,2.36E-03,0.003839998
0.128000006,1.289999962,0.00176,3.52E-03
0.172000006,1.378000021,0.00096,0.001399999
0.195999995,1.412999988,0.0006,-0.001160002
0.210999995,1.383999944,-0.00044,-0.003999996
0.200000003,1.284000039,0.0008,-0.005160003
0.219999999,1.154999971,-0.00168,-0.003039999
0.178000003,1.078999996,-3.28E-03,-0.002319999
0.096000001,1.021000028,-0.00244,-4.00E-05
0.035,1.019999981,-0.00036,0.000320001
0.026000001,1.027999997,-8.00E-05,-8.00E-05
0.024,1.026000023,-0.00016,8.00E-05
0.02,1.027999997,-0.00036,8.00E-04
0.011,1.047999978,-0.00116,0.00112
-0.017999999,1.075999975,-0.00108,-0.002839999
-0.045000002,1.004999995,1.56E-03,0.00296
-0.006,1.078999996,0.00236,0.005120001
0.052999999,1.207000017,2.24E-03,0.003839998
0.108999997,1.302999973,0.00184,2.68E-03
0.155000001,1.370000005,0.001,0.001199999
0.180000007,1.399999976,0.00064,-0.000799999
0.195999995,1.379999995,0.00036,-0.00336
0.204999998,1.296000004,0.00088,-0.004640002
0.226999998,1.179999948,-0.0018,-0.003279996
0.181999996,1.09800005,-0.00328,-0.002600002
0.100000001,1.032999992,-0.00272,-8.00E-05
0.032000002,1.031000018,-0.00084,8.00E-05
0.011,1.032999992,-0.00012,-0.000240002
0.008,1.02699995,0.00E+00,-4.00E-05
0.008,1.026000023,0,0.000759997
0.008,1.044999957,-0.00032,0.00152
0,1.082999945,-0.00104,-0.003119998
-0.026000001,1.004999995,1.72E-03,0.002080002
0.017000001,1.057000041,0.00236,0.00552
0.075999998,1.195000052,0.00196,0.00388
0.125,1.292000055,0.00156,0.003439999
0.164000005,1.378000021,0.00092,0.00184
0.187000006,1.424000025,0.00048,-0.000840001
0.199000001,1.402999997,0.00036,-0.003559999
0.208000004,1.31400001,6.80E-04,-4.64E-03
0.224999994,1.197999954,-0.00068,-0.004319997
0.208000004,1.090000033,-0.0028,-0.003400002
0.137999997,1.004999995,-0.00312,-0.0004
0.059999999,0.995000005,-2.32E-03,8.80E-04
0.002,1.01699996,-0.00072,-0.000879998
-0.016000001,0.995000005,0,-8.00E-05
-0.016000001,0.992999971,8.00E-05,0.000600002
-0.014,1.008000016,-0.00048,0.002639999
-0.026000001,1.074000001,-0.0006,-0.003559999
-0.041000001,0.985000014,0.00156,0.002079997
-0.002,1.036999941,0.003,0.005840001
0.072999999,1.182999969,0.00248,4.16E-03
0.135000005,1.286999941,1.64E-03,0.003240004
0.175999999,1.368000031,1.80E-03,-0.001680002
0.221000001,1.325999975,0.00052,-0.00448
0.233999997,1.213999987,-0.0004,-0.004520001
0.224000007,1.100999951,-0.00268,-0.003279996
0.157000005,1.019000053,-0.00344,-0.001320002
0.071000002,0.986000001,-0.00216,0.000839999
0.017000001,1.006999969,-8.00E-04,-7.60E-04
-0.003,0.987999976,-1.60E-04,-1.20E-04
-0.007,0.985000014,-0.00044,0.000840001
-0.017999999,1.006000042,-1.12E-03,0.001799998
-0.046,1.050999999,-0.0014,-0.002079999
-0.081,0.999000013,0.00164,0.000880001
